id,population,pop_density,pct_immigrants,bachelor_above,median_earnings,employment,employ_rate_15plus,employ_rate_25_54,pop_density_cuberoot,population_cuberoot
1305,65824,18.9,3.7,20.2,41511,19960,62.1,82.1,2.663712005,40.37644609
1306,27562,15.3,3.6,16,35714,8735,62.2,82,2.482545081,30.20672043
1307,132849,36.3,3.4,19.5,35412,41885,62.5,82.2,3.311073908,51.02536224
1308,31449,6.9,3.3,8.9,31748,6525,50.5,71.2,1.903778262,31.56474464
1309,48868,4,2,9.7,32692,9175,47.8,67.3,1.587401052,36.56016848
1310,90872,10.2,6.6,29.7,36899,28890,62.8,82.2,2.168702885,44.95831531
1311,26632,8,3.7,13.2,32102,8060,61.4,81.6,2,29.86307975
1312,20319,3.7,3.4,11.3,30502,4795,53.9,72.2,1.546680374,27.28773215
1313,34071,9.8,3.6,12.2,33260,9475,56.8,76.4,2.139974961,32.41865257
1314,33834,3.9,1.3,10.2,33772,7000,47.2,69.2,1.574060917,32.34330888
1315,78948,16.9,1.1,11.1,33473,15090,51,71.3,2.566229944,42.8989877
2401,13091,63.7,0.7,9.9,37063,2135,53.9,76.7,3.993740209,23.56808383
2402,18437,6,0.5,6.7,31078,2615,39.4,59.7,1.817120593,26.41780632
2403,17888,4.4,1,12.2,34477,3695,46.9,70.7,1.638642541,26.15294469
2404,12329,2.4,0.5,6.9,31559,1780,38.3,58.3,1.3388659,23.10162966
2405,17948,4.1,1,10,31476,3075,42.6,67.3,1.600520664,26.18215283
2406,14643,4.2,1.6,12.9,34170,2495,44.6,63.7,1.613428646,24.46489488
2407,19199,3.6,0.3,8.1,32215,3505,45.4,65.7,1.532618865,26.77685311
2408,22247,6.7,0.7,10.1,34373,4450,49.4,71.8,1.885203631,28.12486749
2409,19365,8.5,0.5,11.6,31194,4415,50.6,73.7,2.040827551,26.85380517
2410,53193,19.6,1.8,20.1,35963,14290,58.2,82.4,2.6961995,37.60839748
2411,9475,8.4,1.3,8.7,27834,1805,49.1,74.3,2.032792714,21.16052343
2412,33305,26.2,0.6,12,32507,9340,59.8,82.9,2.970072818,32.17385839
2413,21785,5.6,1.1,8,30831,4215,48.9,72.3,1.775808003,27.92881578
2414,22084,9.8,1,11.9,32680,5895,55.1,81.7,2.139974961,28.05601033
2415,16372,7.1,1.3,9.6,34243,3810,52.6,76.2,1.921997343,25.39221453
2416,13190,3.5,1,10,30967,2935,51.2,77.3,1.518294486,23.62734549
2417,18902,9,0.6,7.3,32193,5040,54.9,78.8,2.080083823,26.6380596
2418,23201,13.7,0.6,8.9,31613,6155,56.1,81.1,2.392802511,28.52127272
2419,33330,19.1,1.1,10,32741,9745,61.3,85.2,2.673074866,32.18190669
2420,6862,35.6,3.1,21.5,37178,2040,61.9,86.1,3.289652313,19.00276968
2421,23015,4.7,1.8,15.2,37429,7025,61.4,84.7,1.675068684,28.44485077
2422,29738,9.3,2.7,20.6,42450,10295,71.4,88.6,2.102943717,30.98160546
2423,525376,956.7,4.4,26.4,38448,165130,62.6,85.3,9.853531849,80.69068641
2425,130006,289.3,1.6,21.9,39827,44380,69.6,89.6,6.61377594,50.65874953
2426,31415,34.7,0.9,10.5,33612,10600,69.4,88.2,3.261693576,31.55336549
2427,18790,22.4,1.4,8.1,32125,5410,63.3,86.2,2.818919493,26.58534252
2428,17599,9.7,1,6.7,31424,4240,54.2,77.5,2.132671236,26.01133628
2429,49611,25.4,1,10.7,32257,14510,66.2,84.9,2.939530059,36.74452693
2430,22342,8.2,1.9,9.5,31377,6125,59,81.3,2.016529675,28.16484394
2431,43390,22.7,1.2,9.9,30996,11030,55,82,2.831448189,35.13957868
2432,23158,18,1.6,6.5,29473,6640,61.2,83.5,2.620741394,28.50364168
2433,27425,16.5,1.2,8.9,31188,8270,65.4,86.4,2.545821685,30.15658865
2434,46507,11.9,1.4,11.7,34995,12270,57.4,81.8,2.283051214,35.96163609
